App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
EVENTOS DF,EVENTS,,0,4.5M,10+,Free,0,Everyone,Events,"December 1, 2017",1.0.1,4.1 and up
DW Event,EVENTS,4.3,9,39M,"1,000+",Free,0,Everyone,Events,"May 29, 2018",2.32.2,4.1 and up
EB-Chat – For my Events,EVENTS,,2,21M,10+,Free,0,Teen,Events,"November 16, 2017",1.4,3.0 and up
EF Events,EVENTS,5.0,7,4.4M,100+,Free,0,Teen,Events,"October 5, 2017",Varies with device,Varies with device
EG Groups,EVENTS,,0,1.1M,10+,Free,0,Everyone,Events,"October 15, 2017",1.0.0,4.0 and up
EK Bailey Preaching Conference,EVENTS,5.0,3,30M,500+,Free,0,Everyone,Events,"July 2, 2018",5.30.01,5.1 and up
FAST EO,EVENTS,5.0,1,Varies with device,10+,Free,0,Everyone,Events,"May 15, 2018",1.0.3,4.1 and up
eP Scanner,EVENTS,,0,20M,100+,Free,0,Everyone,Events,"October 13, 2017",1.5,4.4 and up
EY Belgium Inhouse Day 2018,EVENTS,,0,24M,10+,Free,0,Everyone,Events,"May 14, 2018",18.4.8.0,4.1 and up
FL Bankers,EVENTS,,0,3.4M,10+,Free,0,Everyone,Events,"June 5, 2018",1.0.1,4.2 and up
NFP 2018,EVENTS,4.8,8,16M,500+,Free,0,Everyone,Events,"January 9, 2018",1.0.3,4.2 and up
